"idhod","hodnota","stapro_kod","typezar_cis","typezar_kod","pnet_cis","pnet_kod","pocdospvdom_cis","pocdospvdom_kod","pocdetivdom_cis","pocdetivdom_kod","velskupobce_cis","velskupobce_kod","kvartilcpdom_cis","kvartilcpdom_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt","stapro_txt","typezar_txt","pnet_text","pocdospvdom_txt","pocdetivdom_txt","velskupobce_txt","kvartilcpdom_txt"
"916837914","26","7640",,,,,"7700","400001600002000","7700","400001799999000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,,"1","1 a více",,
"916837844","24.7","7640",,,"5725","02",,,,,,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,
"916837919","20.2","7640",,,"5725","02",,,"7700","400000600001000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,"0",,
"916837590","32","7640",,,,,,,,,,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,
"916838067","56","7640",,,,,"7700","400003799999000","7700","400001799999000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,,"3 a více","1 a více",,
"916837700","13.1","7640",,,,,"7700","400001600002000","7700","400000600001000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,,"1","0",,
"916837715","23.5","7640",,,,,"7700","400002600003000","7700","400000600001000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,,"2","0",,
"916838087","40.8","7640",,,"5725","02",,,"7700","400001799999000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,"1 a více",,
"916837899","50.4","7640",,,,,,,"7700","400001799999000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,,,"1 a více",,
"916836583","45.2","7638","183","3",,,,,,,,,"7700","410025610050000","2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,"druhý kvartil"
"916837689","61.1","7638","183","3",,,"7700","400001600002000","7700","400001799999000",,,,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"1","1 a více",,
"916838060","60.5","7638","183","3",,,,,,,"7700","445000799999000",,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,"50000 a více",
"916837335","23.1","7638","183","3",,,"7700","400001600002000","7700","400000600001000",,,,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"1","0",,
"916837882","90","7638","183","3",,,"7700","400003799999000","7700","400001799999000",,,,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"3 a více","1 a více",,
"916837790","80.2","7638","183","3",,,"7700","400002600003000","7700","400001799999000",,,,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"2","1 a více",,
"916837973","50.4","7638","183","3",,,,,,,"7700","432000641000000",,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,"2000 – 9999",
"916838138","16.5","7638","183","3",,,,,,,,,"7700","400000610025000","2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,"první (nejnižší) kvartil"
"916836684","91.3","7638","183","3",,,,,,,,,"7700","410075620100000","2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,"čtvrtý (nejvyšší) kvartil"
"916837223","45.3","7638","183","3",,,,,"7700","400000600001000",,,,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,"0",,
"916837562","76.7","7638","183","3",,,"7700","400003799999000","7700","400000600001000",,,,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"3 a více","0",,
"916837960","51.4","7638","183","3",,,,,,,"7700","399999632000000",,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,"do 1999",
"916837453","43.6","7638","183","3",,,"7700","400002600003000","7700","400000600001000",,,,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"2","0",,
"916838047","51.8","7638","183","3",,,,,,,"7700","441000645000000",,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,"10000 – 49999",
"916837208","54.2","7638","183","3",,,,,,,,,,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,
"916837577","81.2","7638","183","3",,,,,"7700","400001799999000",,,,,"2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,"1 a více",,
"916836596","77.4","7638","183","3",,,,,,,,,"7700","410050610075000","2009","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,"třetí kvartil"
